,description,category,entrepreneurs,location,website,website_length,shark1,shark2,shark3,shark4,shark5,sharks,shark_group,title,episode-season,deal,episode,askedFor,exchangeForStake,valuation,season,Multiple_Entreprenuers
225,Premium kitchen products made from regular grained and figured wood.,Kitchen Tools,David Glickman, VT,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Vermont Butcher Block & Board Company,4-23,0,23,400000,25,1600000,4,0
226,Spacious photobooths filled with props.,Entertainment,Tom Kanemoto and Lance Yabut, CA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Pink Shutter,4-24,1,24,300000,10,3000000,4,1
227,Baby's Badass Burgers serves gourmet burgers from its bright pink mobile food truck.,Specialty Food,Erica Cohen and Lori Barbera, FL,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Baby's Badass Burgers,4-24,0,24,250000,30,833333,4,1
228,"A balance bike for kids to work up to riding on two-wheeled bicycles. Rather than using training wheels, KaZam forgoes the pedals and encourages kids to safely practice their balance.",Toys and Games,Mary Beth Lugo, VA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,KaZAM Bikes,4-24,1,24,300000,20,1500000,4,0
229,A door-to-door luggage shipping service for travelers to avoid the hassle of taking luggage through the airport.,Consumer Services,Brian Altomare, NY,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,LugLess,4-25,0,25,100000,10,1000000,4,0
230,Custom-built heirloom gaming furniture.,Furniture,Robert Gifford, WA,1,short,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Geek Chic,4-25,1,25,100000,5,2000000,4,0
231,"Stella Valle produces a line of jewelry that embodies inner strength and self-reliance. Founded by two sisters who are veterans of the US military, their designs evoke their military background and unique aesthetic sensibilities. Balancing masculine and feminine design elements and details, this jewelry is designed for brave women who set the bar high and persist through adversity.",Women's Accessories,Paige Dellavalle and Ashley Jung, NJ,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Stella Valle,4-25,1,25,150000,25,600000,4,1
232,"Authentic-tasting, traditional scones made in America.",Specialty Food,J. Jones, CO,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Jones Scones,4-25,0,25,100000,25,400000,4,0
233,An invite-only dating site for single professionals.,Online Services,Val Brennan, CA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Three Day Rule,4-26,0,26,200000,10,2000000,4,0
234,A mobile app that connects users to professional translators on demand.,Online Services,Ryan Frankel and Kunal Sarda, NY,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,VerbalizeIt,4-26,1,26,250000,15,1666667,4,1
235,A chain of grilled cheese and tomato soup shops.,Specialty Food,Tru Quakenbush and Cory War, OH,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Tom + Chee,4-26,1,26,600000,10,6000000,4,1
236,"Now doing business as Ry's Ruffery, this business started after Ryan's family adopted a rescue beagle. The family was taken aback by the poor quality of some of the dog treats on the market, and decided to make a better dog biscuit. Ryan, then 10 years old, took initiative to talk to veterinarians and test new flavor combinations, experimenting with his mom's help. Once they settled on a recipe, Ryan took to the streets to sell his doggie treats from his bike. Today, Ry's Ruffery offers three different flavors: cheddar, peanut butter, and pumpkin apple. These healthy dog treats are sold online and in pet stores across the country.",Pet Products,Ryan and Daniella Kelly, CT,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Ryan's Barkery,4-26,1,26,25000,25,100000,4,1
237,"What is this? We're hearing about a tight-knit family, a closely guarded secret, and mouth-watering pickles. It sounds like a motion picture but it's Lynnae's Gourmet Pickles, and although the recipe remains a secret, you can buy the finished product and enjoy the taste for yourself. The recipe comes from Lynnae's Great Grandma Toots, a.k.a. Mrs. Pickles. Her recipe has united the family's women for over a century. Now Lynnae, together with her sister-in-law Aly, is bringing its goodness to the masses.",Specialty Food,, WA,1,medium,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,"['Lori Greiner', 'Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Mark Cuban']",5,Lynnae's Sweet Pickles,5-1,0,1,125000,20,625000,5,0
238,A social network for the medical community.,Online Services,Richard and Albert Amini, AZ,1,short,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,"['Lori Greiner', 'Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Mark Cuban']",5,RoloDoc,5-1,0,1,50000,20,250000,5,1
239,Cake balls produced for the mass market and retailing at convenience stores.,Specialty Food,, TX,1,medium,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,"['Lori Greiner', 'Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Mark Cuban']",5,Sweet Ballz,5-1,1,1,250000,10,2500000,5,0
240,An easy-to-use mobile app that allows you to take a photograph from your phone and instantly send it as a real printed postcard.,Online Services,, CA,1,medium,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,"['Lori Greiner', 'Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Mark Cuban']",5,Postcard on the Run,5-1,1,1,300000,5,6000000,5,0
241,"Breathometer makes breathalyzer tests accessible for consumers by leveraging users' smartphones. Easily plugging into any smartphone's audio jack, Breathometer makes it easier than ever to gauge your blood alcohol content. The user simply exhales onto the sensor and the results are displayed onscreen, much like using any other breathalyzer. Breathometer's smartphone app also estimates how long until a user may be able to drive safely again, and can even call you a local cab if needed.",Automotive,Charles Michael Yim, CA,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Breathometer,5-2,1,2,250000,10,2500000,5,0
242,"Kane & Couture sells trendy yet affordable accessories for stylish pups. For stylish dog lovers, Kane & Couture offers doggie apparel, harnesses, collars, leashes, and carriers in a range of styles, from urban-chic, to sporty, to glam. Even their doggie poopie bag holder is attractively styled in gray denim and decked with shiny studs! The company runs three brands: The Kane & Couture Signature line, Bubba Dog Collection, and Imperial Pup.",Pet Products,Amber Lee Forrester, NY,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Kane & Couture,5-2,1,2,150000,33,454545,5,0
243,"There's no better way to say it: spread it, mix it, shake it, stir it! Mango Mango are fruit preserves that are wildly popular among the crowds that attend the parties organized by these three go-getter founders. Finally they decided to make the preserves for retail sale, appropriately described as a party in a jar. There are over 100 ways to use Mango Mango to liven up your menu. Spread it on bread or crackers, mix with cream cheese to make a dip, combine with vinegar and olive oil to make vinaigrettes and marinades, or invent your own!",Specialty Food,"Lakesha Brown-Renfro, Tanecia Willis and Nzinga Teule-Hekima", VA,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Mango Mango,5-2,0,2,75000,20,375000,5,1
244,Gag medals for when men complete household chores.,Novelties,Jim O'Brien, MI,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Man Medals,5-2,0,2,10000,10,100000,5,0
245,"""Magic"" aromatherapy sprays for kids to help alleviate common fears and anxieties.",Baby and Child Care,Debbie Glickman, IL,1,medium,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,"['Lori Greiner', 'Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Mark Cuban']",5,Fairytale Wishes,5-3,0,3,35000,33,106061,5,0
246,"A modern version of the chef's hat, which keeps the smell of food out of hair.",Kitchen Tools,Juli Deveau and Ozma Khan, CA,0,short,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,"['Lori Greiner', 'Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Mark Cuban']",5,Kookn Kap,5-3,0,3,50000,20,250000,5,1
247,"Ramen noodles just got an upgrade. If you love ramen but hate fussing with kettles or pots of boiling water, Rapid Ramen Cooker is for you. This sturdy, microwave-safe plastic tray holds a block of ramen and provides an indicator line showing how much water to be added. From there, you just pop it in the microwave and enjoy your new favorite ramen preparation.",Kitchen Tools,, CA,1,short,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,"['Lori Greiner', 'Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Mark Cuban']",5,Rapid Ramen Cooker,5-3,1,3,300000,10,3000000,5,0
248,"The Freeloader is the ultimate child carrier for active families, designed to be ultra-light, super portable and extra safe and strong. This child carrier supports more weight than any other, and effectively distributes it through its padded and contoured shoulder straps and padded waist strap. The Freeloader is also designed with safety in mind, featuring a five-point harness system to hold your child in place.",Baby and Child Care,Erick Jansen, TX,1,medium,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,"['Lori Greiner', 'Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Mark Cuban']",5,Freeloader,5-3,1,3,200000,15,1333333,5,0
249,"Surf-style comes to skateboards with Hamboards. Founded by a family of lifeguards in southern California, Hamboards makes skateboards that are like surfing on land. The company makes several models of longboards and skateboards, with names like Pinger, Pescadito, and the Biscuit.",Outdoor Recreation,, CA,1,short,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Hamboards,5-4,1,4,100000,15,666667,5,0
250,"ScreenMend is an easy and cost-effective way to patch window screens. By applying just a bit of heat over the patch, with any blow dryer you have around the house, ScreenMend patches become securely affixed to the screen. This clever invention came from a serendipitous discovery that a father and daughter stumbled upon as they did work around the house.",Home Improvement,, NY,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Screen Mend,5-4,1,4,30000,25,120000,5,0
251,"Sunday Night Slow Jams is a radio show mixing slow jams from past and present. Nationally syndicated across 80 cities, Sunday Night Slow Jams has an audience of over 1 million listeners. The show also has a live concert tour every year during February, appropriately so, given it's the month of Valentine's Day.",Entertainment,, CA,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Sunday Night Slow Jams,5-4,0,4,75000,10,750000,5,0
252,"RuffleButts and RuggedButts are collections of adorably styled and super soft children's apparel and accessories. This husband and wife founding team were inspired by their own parenthood and their desire for affordable, stylish and well made clothing and accessories for toddlers.",Baby and Children's Apparel and Accessories,Amber Schaub, TX,1,medium,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,"['Lori Greiner', 'Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Mark Cuban']",5,RuffleButts and RuggedButts,5-5,1,5,600000,7,8571429,5,0
253,"Garden Pops, the Veggie Mama flagship product, are all natural, frozen vegetable and fruit treats.",Baby and Children's Food,Theresa Fraijo, CA,1,medium,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,"['Lori Greiner', 'Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Mark Cuban']",5,Veggie Mama Garden Pops,5-5,1,5,75000,15,500000,5,0
254,"Rent-A-Goat helps businesses and homeowners landscape their properties in a safe and eco-friendly way, at a competitive price, by clearing their land with goats.",Professional Services,Mike and Jan Canaday, CA,1,short,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,"['Lori Greiner', 'Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Mark Cuban']",5,Rent A Goat,5-5,0,5,150000,25,600000,5,1
255,"The BareEASE Prep Kit takes the pain out of hair removal in the bikini line area. Designed by Dr. Edna Ma, this kit includes a 4% lidocaine-based numbing lotion and a latex-panty that prevents the lotion from rubbing off, maximizing absorption and its numbing effect. In just 15-20 minutes, the lotion does its work and you can experience the most comfortable bikini line hair removal that there can be.",Personal Care and Cosmetics,"Edna Ma, M.D.", CA,1,medium,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,"['Lori Greiner', 'Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Mark Cuban']",5,Bare Ease,5-5,0,5,50000,20,250000,5,0
256,"Be a superhero around the house with FiberFix. This super-adhesive tape is doctored with a water-activated resin that once cured, makes the bond 100 times stronger than duct tape. Fix leaky pipes, broken tool handles, and any number of other broken household items and make them sturdy as new. FiberFix saves you the expense of replacing these items and your valuable time.",Home Improvement,, UT,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,FiberFix,5-6,1,6,90000,10,900000,5,0
257,Alternative financing solutions for small businesses.,Professional Services,, NJ,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Total Merchant Resources,5-6,1,6,200000,20,1000000,5,0
258,"Elephant Chat encourages couples to address the ""elephant in the room"". This plush toy elephant helps couples start conversations about divisive issues that they might otherwise struggle to bring up. How do you use Elephant Chat? Just place the toy elephant someplace visible in your home whenever there's something you and your partner need to discuss. Every couple is different, and while Elephant Chat might not be right for everyone, the married duo behind this product have brought it to market because of the positive results that they themselves have experienced in their communications.",Novelties,, TX,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Elephant Chat,5-6,0,6,50000,20,250000,5,0
259,"An all-electric, jet-propelled body board.",Outdoor Recreation,, CA,1,medium,Lori Greiner,Kevin O'Leary,Daymond John,Mark Cuban,John Paul DeJoria,"['Lori Greiner', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban', 'John Paul DeJoria']",6,Kymera Body Board,5-7,0,7,250000,20,1250000,5,0
260,Tree T Pee is an agricultural water conservation and frost protection device.,Gardening,John (Johnny) G. Georges, FL,1,medium,Lori Greiner,Kevin O'Leary,Daymond John,Mark Cuban,John Paul DeJoria,"['Lori Greiner', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban', 'John Paul DeJoria']",6,Tree T Pee,5-7,1,7,150000,20,750000,5,0
261,"180CUP is the party time MVP. Just a normal plastic drinking cup at first glance, the 180CUP transforms into a shot glass with a quick flip. With its clever design and bright colors, 180CUP adds to the festive atmosphere while it serves as a drinking cup, shot glass, measuring cup, ash tray, and any other uses your party guests can discover. 180CUP is perfect for picnics, tailgates, and all your other social gatherings.",Party Supplies,, NY,1,short,Lori Greiner,Kevin O'Leary,Daymond John,Mark Cuban,John Paul DeJoria,"['Lori Greiner', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban', 'John Paul DeJoria']",6,180 Cup,5-7,1,7,300000,15,2000000,5,0
262,"Better Life produces all-natural cleaning products, including all-purpose cleaners, specialty surface cleaners, soaps and lotions. The company's mission is to make the safest and most effective home cleaning products on the market. Better Life cleaning products are cruelty-free and made in the USA.",Storage and Cleaning Products,Tim Barklage and Kevin Tibbs, MO,1,medium,Lori Greiner,Kevin O'Leary,Daymond John,Mark Cuban,John Paul DeJoria,"['Lori Greiner', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban', 'John Paul DeJoria']",6,Better Life,5-7,1,7,400000,7,5714286,5,1
263,Bread pudding reimagined in 108 flavors.,Specialty Food,Sarah Schulz, CA,1,medium,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,"['Lori Greiner', 'Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Mark Cuban']",5,Schulzies Bread Pudding,5-8,0,8,160000,20,800000,5,0
264,Color spray made with ingredients safe for use on dogs.,Pet Products,, CA,1,medium,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,"['Lori Greiner', 'Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Mark Cuban']",5,Pet Paint,5-8,0,8,200000,20,1000000,5,0
265,"Bellybuds is a sound system for your baby, in utero! Babies begin to develop hearing and memories well before birth, but most sounds are muffled, with the exception of the mother's voice. Bellybuds changes that by providing a means for audio stimulation to reach them through the womb. The specially-designed speakers adhere to the belly and safely play music, messages from family, or other soothing sounds of your choosing.",Maternity,, CA,1,medium,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,"['Lori Greiner', 'Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Mark Cuban']",5,Bellybuds,5-8,0,8,500000,13,4000000,5,0
266,"Paparazzi Proposals helps plan and execute memorable marriage proposals and capture the memories for posterity. Whether it's something simple and intimate or a big production, Paparazzi Proposals can help make it happen and ensure you have pictures and video to remember the moment.",Weddings,, NY,1,medium,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,"['Lori Greiner', 'Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Mark Cuban']",5,Paparazzi Proposals,5-8,1,8,250000,20,1250000,5,0
267,"Doorbot (now Ring), is a Wi-Fi enabled video doorbell that allows the owner to communicate with visitors and grant access remotely using their smartphone or tablet.",Home Security Solutions,, CA,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,DoorBot,5-9,0,9,700000,10,7000000,5,0
268,"It's slaw, it's salsa--no! It's Slawsa! Meet this bold new condiment category that blends the best elements of slaw and salsa to produce a healthy and flavorful snack topping. Use it in place of relish on burgers and hot dogs, slather it on sandwiches, or dip your tortilla chips in it, there are limitless ways to enjoy the deliciousness. Slawsa comes in a variety of flavors with a salsa base, but they all have the cabbage backbone that underlies any slaw worth its name.",Specialty Food,, NC,1,short,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Slawsa,5-9,0,9,150000,15,1000000,5,0
269,"An iPhone app and online marketplace that enables users to turn their pitches into products they can buy, sell and share.",Online Services,, MI,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Magical Moments,5-9,0,9,500000,15,3333333,5,0
270,"Surprise Ride is a one-of-a-kind subscription service for activities. Each month, Surprise Ride delivers a box full of supplies, lessons and instructions for activities following a theme. From penguins to volcanoes, ancient Egypt, gardening, and space, Surprise Ride is full of ways to nurture and encourage creativity and learning in a playful spirit.",Toys and Games,, DC,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Surprise Ride,5-9,0,9,110000,10,1100000,5,0
271,"Order unique chocolate bars online, customized down to the very last detail. The Chocomize business is to deliver on-demand custom chocolates direct to the consumer. You can select the type of base chocolate and choose from a wide variety of toppings with up to 300 million possible combinations.  Chocomize also caters to corporate customers looking for unique promotional gifts, as Chocomize's chocolate bars and packaging can also be customized to include their company logo.",Specialty Food,, NY,1,medium,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,"['Lori Greiner', 'Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Mark Cuban']",5,Chocomize,5-10,0,10,500000,20,2500000,5,0
272,"Yubo is a better and brighter lunchbox that kids and their parents can appreciate. Children love the interchangeable inserts that go into the front panel, which allows them to change the look of the lunchbox when they please. Parents love that they don't have to buy another lunchbox again! Designed for maximum style and cleanliness, Yubo is also easy to wipe down or even toss in the dishwasher.",Toys and Games,"Cyndi Pedrazzi, Paul Pedrazzi, and Dan Harden", CA,1,medium,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,"['Lori Greiner', 'Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Mark Cuban']",5,Yubo,5-10,1,10,150000,15,1000000,5,1
273,"Pursecase is an ultra-minimalist purse, built to have room for just your phone and precious few other essentials, such as a bit of cash, your ID and a credit card or two. Not to skimp on style, Pursecase has an attractive chain handle to complete the purse-like look and feel.",Women's Accessories,Kelley Coughlan and Jenn Deese, CA,1,short,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,"['Lori Greiner', 'Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Mark Cuban']",5,PurseCase,5-10,1,10,55000,12,458333,5,1
274,"Grace and Lace makes fashion-forward frilly socks, scarves and hair accessories. The company grew off the surge in popularity of the layered look of frilly socks peeking out of boots. Grace and Lace also helps the less fortunate. The company puts a portion of every sales into building orphanages in India.",Women's Accessories,, TX,1,medium,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,"['Lori Greiner', 'Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Mark Cuban']",5,Grace & Lace,5-10,1,10,175000,10,1750000,5,0
275,"A line of cool accessories that can easily attach to any kind of safety helmet, transforming it from a chore into a fashion statement.",Baby and Child Care,, NY,0,short,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Fohawx,5-11,0,11,150000,30,500000,5,0
276,"SpiritHoods are unique accessories that work as a combination of hat, gloves, and scarf. Make in California out of premium faux fur, each SpiritHood is modeled after a specific animal, and 10% of net profits are donated towards the conservation of endangered species.",Fashion Accessories,, CA,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,SpiritHoods,5-11,0,11,450000,15,3000000,5,0
277,"Bubba's Q BBQ has a proprietary way to prepare and package fully cooked, de-boned baby back ribs. They package these for sale, ready to enjoy after a quick blast in the microwave. Consumers can now enjoy these fully cooked pork ribs with a knife and fork in their own kitchen, as speedily as anything else they might throw in the microwave. The bones are hand-removed before being packaged ensuring the highest quality experience. For extra flavor, you can also opt to cook these boneless ribs in the oven or on the grill. Since they are pre-cooked, they will heat up quickly, in about three to five minutes for each side.",Specialty Food,Al Bubba Baker, OH,1,medium,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Barbara Corcoran', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",2,Bubba's Q BBQ,5-11,1,11,300000,15,2000000,5,0
278,"Cashmere Hair produces premium-quality hair extensions with a unique clip-in system that makes them easier and safer to apply and remove than any other. Based in Beverly Hills,  Cashmere Hair's extensions are made of 100% human hair and available in a range of colors to suit any woman in need. Cashmere Hair extensions can also be cut and textured to customize the look and blend in expertly with any woman's natural hair.",Personal Care and Cosmetics,Rachel and Melissa, CA,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Cashmere Hair,5-12,0,12,45000,15,300000,5,1
279,Christmas lights strands magnetized at each bulb for easy setup.,Holiday Cheer,, TX,1,short,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Lite-Netics,5-12,0,12,125000,20,625000,5,0
280,"Tipsy Elves is a witty brand of clothing that produces items with humorous and irreverent designs. The company started out focused on producing their own modern twist on the ugly sweater. Since receiving their Shark Tank investment from Robert, the Tipsy Elves has expanded outside of holiday-themed clothing but they remain committed to producing high-quality, apparel for men and women, always with a tongue-in-cheek tone. Great for all kinds of gatherings, from ugly sweater parties, to spirit week, to 4th of July cookouts, to St. Patrick's Day pub crawls, and more. Tipsy Elves also produces collegiate clothing, and has partnered with a number of colleges and universities to produce branded sweaters in their school colors.",Holiday Cheer,, CA,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Tipsy Elves,5-12,1,12,100000,5,2000000,5,0
281,"A Christmas tree topper in the form of a Star of David, for interfaith families to fuse their holidays and celebrate together.",Holiday Cheer,Morri Chowaiki, CA,1,medium,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,The Hanukkah Tree Topper,5-12,1,12,50000,15,333333,5,0
282,Eyebloc is an adhesive-free cover for built-in laptop cameras.,Novelties,, DC,1,short,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,"['Lori Greiner', 'Robert Herjavec', ""Kevin O'Leary"", 'Daymond John', 'Mark Cuban']",4,Eyebloc,5-13,0,13,50000,10,500000,5,0
